Time,Sentiment
1216854,-0.032559
1216755,-0.131165
1216698,-0.045684
1216599,-0.007330
1216808,-0.073981
1216833,-0.041020
1216677,-0.040893
1216652,-0.033043
1216787,-0.056736
1216730,-0.122953
1216631,-0.006944
1217787,-0.000202
1216574,-0.022291
1216865,-0.025543
1216840,-0.039265
1216684,-0.030841
1216709,-0.014677
1216819,-0.086484
1216762,-0.130569
1216663,-0.066950
1216606,0.063755
1216872,0.023281
1217762,-0.000530
1216741,-0.091010
1216716,-0.144542
1216851,-0.032701
1216585,0.009148
1216794,-0.059855
1216695,-0.046759
1216638,-0.021173
1216773,-0.110958
1216748,-0.098283
1216592,0.069328
1217773,-0.008831
1216617,0.012514
1216826,-0.210386
1216727,-0.135340
1216670,-0.046883
1216571,-0.024951
1216805,-0.029902
1216780,-0.077421
1216624,0.018841
1217780,0.014774
1216649,-0.041824
1216858,-0.012370
1216759,-0.049526
1216702,-0.020391
1216603,-0.003211
1217759,-0.017030
1216837,-0.083572
1216812,-0.068575
1216656,-0.021059
1216681,-0.059814
1216791,-0.036007
1216734,-0.101634
1216635,-0.002904
1217791,0.018683
1216869,0.025979
1216844,-0.131127
1216578,0.026684
1216688,-0.061661
1216713,-0.083379
1216823,-0.105521
1216766,-0.117005
1216667,-0.048719
1217766,0.004326
1216876,-0.005968
1216610,-0.001094
1216720,-0.155544
1216745,-0.146493
1216855,-0.050386
1216589,0.055814
1216798,-0.044424
1216699,-0.044589
1216642,-0.019388
1216752,-0.093287
1216777,-0.086661
1216621,0.054168
1216596,0.007427
1217777,0.051518
1216830,-0.057919
1216731,-0.138005
1216674,-0.051747
1216575,-0.006044
1216784,-0.071481
1216809,-0.117633
1217784,-0.019128
1216653,-0.046200
1216628,0.026194
1216862,-0.004033
1216763,-0.095779
1216706,0.005344
1217763,0.017923
1216607,0.039891
1216841,-0.033698
1216816,-0.144564
1216685,-0.036899
1216660,-0.050864
1216795,-0.027784
1216738,-0.118000
1216639,-0.017427
1216582,-0.036248
1216873,0.016647
1216848,-0.059296
1216717,-0.126131
1216692,-0.039661
1216827,-0.152643
1216770,-0.051447
1216671,-0.034445
1216614,-0.024236
1217770,-0.004282
1216880,-0.080653
1216749,-0.094114
1216724,-0.134646
1216568,-0.003275
1216859,-0.026743
1216593,0.046320
1216802,-0.025092
1216703,-0.014971
1216646,-0.038117
1216781,-0.073859
1216756,-0.158164
1216600,0.037548
1217781,0.009622
1217756,-0.045092
1216625,0.011631
1216834,-0.069042
1216735,-0.136921
1216678,-0.028242
1216579,-0.017603
1216813,-0.077231
1216788,-0.056936
1216632,0.000447
1217788,0.029989
1216657,-0.035513
1216866,0.058651
1216767,-0.078033
1216710,-0.013639
1216611,0.040337
1217767,-0.016613
1216845,-0.065421
1216820,-0.073168
1216664,-0.059453
1216689,-0.006311
1216799,-0.049076
1216742,-0.133633
1216643,-0.047669
1216877,-0.063504
1216852,-0.047979
1216586,0.015634
1216696,-0.029480
1216721,-0.127349
1216831,-0.054035
1216774,-0.105686
1216675,-0.051505
1217774,0.010005
1216618,-0.099627
1216728,-0.129405
1216753,-0.047571
1216863,-0.001367
1216597,-0.001084
1216572,-0.072568
1216806,-0.050343
1216707,-0.023641
1216650,-0.067428
1216760,-0.108456
1216785,-0.076786
1217760,0.054189
1216629,-0.000479
1216604,-0.045494
1217785,-0.040922
1216838,-0.071158
1216739,-0.110776
1216682,-0.013935
1216583,-0.025221
1216792,-0.081045
1216817,-0.083438
1217792,0.017958
1216661,-0.061031
1216636,-0.004188
1216870,0.002533
1216771,-0.123025
1216714,-0.091508
1216615,-0.053516
1217771,0.004214
1216849,-0.061553
1216824,-0.025139
1216693,-0.015360
1216668,-0.053284
1216803,-0.051441
1216746,-0.131985
1216647,-0.060595
1216590,0.033196
1216856,-0.051808
1216725,-0.157339
1216700,0.011408
1216835,-0.112218
1216569,-0.042086
1216778,-0.075933
1216679,-0.038113
1216622,0.000521
1217778,0.032099
1216757,-0.090210
1216732,-0.113354
1216576,0.029539
1217757,-0.022832
1216867,0.054763
1216601,0.013757
1216810,-0.075511
1216711,-0.010445
1216654,-0.018269
1216789,-0.054751
1216764,-0.139389
1216608,-0.008818
1217789,-0.015545
1217764,-0.000979
1216633,-0.047715
1216842,-0.047196
1216743,-0.089471
1216686,-0.084556
1216587,0.027089
1216821,-0.041028
1216796,-0.011067
1216640,-0.016107
1216665,-0.074192
1216874,0.006732
1216775,-0.105443
1216718,-0.154122
1217775,0.025810
1216619,0.012828
1216853,-0.049729
1216828,-0.086667
1216672,-0.080904
1216697,-0.006323
1216807,-0.053481
1216750,-0.104561
1216651,-0.037275
1216860,-0.000586
1216594,0.060699
1216704,0.025698
1216729,-0.123741
1216839,-0.084861
1216573,-0.059484
1216782,-0.077287
1216683,0.006365
1217782,0.023721
1216626,-0.015791
1216736,-0.123127
1216761,-0.115064
1216871,0.026462
1216605,-0.026568
1216580,-0.032600
1217761,0.034602
1216814,-0.056302
1216715,-0.119933
1216658,-0.043472
1216768,-0.113018
1216793,-0.033252
1217768,0.008945
1216637,-0.016340
1216612,0.051734
1216846,-0.080423
1216747,-0.087060
1216690,-0.028632
1216591,0.026307
1216800,-0.076484
1216825,-0.089139
1216669,-0.056505
1216644,-0.086418
1216878,-0.033927
1216779,-0.081850
1216722,-0.119387
1216623,0.016605
1217779,0.008550
1216832,-0.073004
1216857,-0.021123
1216701,-0.008337
1216676,-0.048479
1216811,-0.102000
1216754,-0.104575
1216655,-0.052904
1216598,0.013761
1216864,0.011939
1216733,-0.145487
1216708,-0.008146
1216843,-0.083595
1216577,-0.005422
1216786,-0.095359
1216687,0.043553
1216630,-0.000674
1217786,-0.005035
1216765,-0.134032
1216740,-0.107973
1216584,0.008091
1217765,0.032790
1216875,0.031929
1216609,0.046461
1216818,-0.068735
1216719,-0.165030
1216662,-0.063228
1216797,-0.060915
1216772,-0.080424
1216616,-0.000538
1217772,-0.011529
1216641,-0.018194
1216850,-0.065681
1216751,-0.072169
1216694,-0.033659
1216595,0.053711
1216829,-0.079909
1216804,-0.057210
1216648,-0.059767
1216673,-0.059529
1216783,-0.059668
1216726,-0.142341
1217783,-0.009840
1216627,0.036227
1216861,0.001819
1216836,-0.103987
1216570,-0.043997
1216680,-0.045261
1216705,-0.019265
1216815,-0.077695
1216758,-0.111970
1216659,-0.031431
1217758,-0.008975
1216868,0.042965
1216602,-0.004709
1216712,-0.059502
1216737,-0.102984
1216847,-0.107308
1216581,0.007864
1216790,-0.054882
1216691,-0.052147
1217790,-0.009047
1216634,-0.024169
1216744,-0.118737
1216769,-0.095384
1216879,-0.020001
1216613,0.099937
1216588,0.025242
1217769,0.056277
1216822,-0.049009
1216723,-0.137018
1216666,-0.063726
1216776,-0.121105
1216801,-0.035125
1217776,-0.004451
1216645,-0.050888
1216620,0.048694
Status API Training Shop Blog About
Â© 2016 GitHub, Inc. Terms Privacy Security Contact Help